Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;Type de lycée;Effectifs voie GT;Effectifs voie PRO;Effectifs Ensemble GT-PRO;IPS voie GT;IPS voie PRO;IPS Ensemble GT-PRO;Ecart-type de l'IPS voie GT;Ecart-type de l'IPS voie PRO
2022-2023;NANTES;072;SARTHE;0720034W;LYCEE PROFESSIONNEL FUNAY HELENE BOUCHER LYCEE DES METIERS;72181;LE MANS;public;LP;;907.0;907.0;;80.5;80.5;;25.6
2022-2023;NANTES;072;SARTHE;0720055U;LYCEE GENERAL ET TECHNOLOGIQUE PAUL SCARRON;72334;SILLE LE GUILLAUME;public;LEGT;326.0;;326.0;107.9;;107.9;33.6;
2022-2023;NANTES;072;SARTHE;0720822C;LYCEE POLYVALENT PRIVE STE CATHERINE LYCEE DES METIERS;72181;LE MANS;privé sous contrat;LPO;33.0;514.0;547.0;116.0;105.5;106.1;24.2;26.4
2022-2023;GRENOBLE;073;SAVOIE;0730005J;LYCEE POLYVALENT JEAN MOULIN;73011;ALBERTVILLE;public;LPO;803.0;35.0;838.0;109.8;72.4;108.2;35.2;17.7
2022-2023;GRENOBLE;073;SAVOIE;0730039W;LYCEE PROFESSIONNEL GENERAL FERRIE LYCEE DES METIERS DE LA MONTAGNE;73261;SAINT MICHEL DE MAURIENNE;public;LP;;284.0;284.0;;114.8;114.8;;28.5
2022-2023;GRENOBLE;073;SAVOIE;0731507S;LYCEE GENERAL SAINT EXUPERY;73054;BOURG SAINT MAURICE;public;LEGT;325.0;;325.0;119.3;;119.3;32.2;
2022-2023;GRENOBLE;074;HAUTE SAVOIE;0740003B;LYCEE GENERAL L BERTHOLLET;74010;ANNECY;public;LEGT;1374.0;;1374.0;130.7;;130.7;35.3;
2022-2023;GRENOBLE;074;HAUTE SAVOIE;0740017S;LYCEE POLYVALENT CHARLES PONCET LYCEE DES METIERS DE L INDUSTRIE;74081;CLUSES;public;LPO;1282.0;226.0;1508.0;99.4;81.5;96.7;34.5;26.0
2022-2023;GRENOBLE;074;HAUTE SAVOIE;0740097D;LYCEE GENERAL PRIVE LA PRESENTATION DE MARIE;74243;SAINT JULIEN EN GENEVOIS;privé sous contrat;LEGT;298.0;;298.0;133.0;;133.0;28.2;
2022-2023;GRENOBLE;074;HAUTE SAVOIE;0740098E;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT JOSEPH;74256;SALLANCHES;privé sous contrat;LEGT;279.0;;279.0;111.7;;111.7;29.0;
2022-2023;GRENOBLE;074;HAUTE SAVOIE;0740156T;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;74281;THONON LES BAINS;privé sous contrat;LP;;283.0;283.0;;101.9;101.9;;25.6
2022-2023;GRENOBLE;074;HAUTE SAVOIE;0741101V;LYCEE POLYVALENT PRIVE LES BRESSIS;74010;ANNECY;privé sous contrat;LPO;217.0;331.0;548.0;112.3;97.4;103.3;27.7;25.3
2022-2023;GRENOBLE;074;HAUTE SAVOIE;0741285V;LYCEE PROFESSIONNEL PRIVE ECA;74010;ANNECY;privé sous contrat;LP;;239.0;239.0;;108.1;108.1;;24.8
2022-2023;GRENOBLE;074;HAUTE SAVOIE;0741418P;LYCEE GENERAL ET TECHNOLOGIQUE CHARLES BAUDELAIRE;74010;ANNECY;public;LEGT;1190.0;;1190.0;115.2;;115.2;33.8;
2022-2023;GRENOBLE;074;HAUTE SAVOIE;0741443S;LYCEE GENERAL PRIVE SAINTE CROIX DES NEIGES;74001;ABONDANCE;privé sous contrat;LEGT;78.0;;78.0;132.0;;132.0;27.1;
2022-2023;GRENOBLE;074;HAUTE SAVOIE;0741476C;LYCEE POLYVALENT JEAN MONNET;74012;ANNEMASSE;public;LPO;984.0;226.0;1210.0;106.8;82.6;102.2;32.6;26.6
2022-2023;PARIS;075;PARIS;0750419Y;LYCEE PROFESSIONNEL MECANIQUE AUTOMOBILE CAMILLE JENATZY;75118;PARIS 18E ARRONDISSEMENT;public;LP;;247.0;247.0;;83.0;83.0;;23.9
2022-2023;PARIS;075;PARIS;0750428H;LYCEE POLYVALENT JACQUES MONOD LYCEE DES METIERS DES CARRIERES SANITAIRES ET SOCIALES;75105;PARIS 5E ARRONDISSEMENT;public;LPO;126.0;438.0;564.0;87.9;83.3;84.4;24.9;24.5
2022-2023;PARIS;075;PARIS;0750558Z;LYCEE POLYVALENT PAUL POIRET;75111;PARIS 11E ARRONDISSEMENT;public;LPO;14.0;64.0;78.0;109.3;99.5;101.3;24.0;37.8
2022-2023;PARIS;075;PARIS;0750588G;LYCEE PROFESSIONNEL RENE CASSIN LYCEE DES METIERS DE LA COMMUNICATION DE LA GESTION ET DU MANAGEMENT D ENTREPRISE;75116;PARIS 16E ARRONDISSEMENT;public;LP;;301.0;301.0;;84.2;84.2;;24.7
2022-2023;PARIS;075;PARIS;0750648X;LYCEE GENERAL VICTOR HUGO;75103;PARIS 3E ARRONDISSEMENT;public;LEGT;483.0;;483.0;142.0;;142.0;37.0;
2022-2023;PARIS;075;PARIS;0750651A;LYCEE POLYVALENT SIMONE WEIL;75103;PARIS 3E ARRONDISSEMENT;public;LPO;308.0;195.0;503.0;122.3;84.5;107.6;40.4;24.9
2022-2023;PARIS;075;PARIS;0750652B;LYCEE GENERAL CHARLEMAGNE;75104;PARIS 4E ARRONDISSEMENT;public;LEGT;725.0;;725.0;136.7;;136.7;39.0;
2022-2023;PARIS;075;PARIS;0750654D;LYCEE GENERAL HENRI IV;75105;PARIS 5E ARRONDISSEMENT;public;LEGT;814.0;;814.0;147.6;;147.6;34.6;
2022-2023;PARIS;075;PARIS;0750662M;LYCEE GENERAL VICTOR DURUY;75107;PARIS 7E ARRONDISSEMENT;public;LEGT;993.0;;993.0;145.2;;145.2;33.2;
2022-2023;PARIS;075;PARIS;0750669V;LYCEE GENERAL JULES FERRY;75109;PARIS 9E ARRONDISSEMENT;public;LEGT;754.0;;754.0;127.2;;127.2;41.6;
2022-2023;PARIS;075;PARIS;0750671X;LYCEE POLYVALENT EDGAR QUINET;75109;PARIS 9E ARRONDISSEMENT;public;LPO;412.0;219.0;631.0;109.4;83.4;100.4;38.5;22.6
2022-2023;PARIS;075;PARIS;0750675B;LYCEE GENERAL ET TECHNOLOGIQUE VOLTAIRE;75111;PARIS 11E ARRONDISSEMENT;public;LEGT;932.0;;932.0;120.0;;120.0;40.0;
2022-2023;PARIS;075;PARIS;0750680G;LYCEE GENERAL ET TECHNOLOGIQUE ARAGO;75112;PARIS 12E ARRONDISSEMENT;public;LEGT;747.0;;747.0;121.6;;121.6;40.3;
2022-2023;PARIS;075;PARIS;0750689S;LYCEE GENERAL PAUL BERT;75114;PARIS 14E ARRONDISSEMENT;public;LEGT;485.0;;485.0;122.8;;122.8;38.7;
2022-2023;PARIS;075;PARIS;0750705J;LYCEE GENERAL ET TECHNOLOGIQUE HONORE DE BALZAC;75117;PARIS 17E ARRONDISSEMENT;public;LEGT;903.0;;903.0;123.6;;123.6;40.2;
2022-2023;PARIS;075;PARIS;0750710P;LYCEE TECHNOLOGIQUE AUGUSTE RENOIR LYCEE DES METIERS DE LA PHOTOGRAPHIE ET DE L IMAGE;75118;PARIS 18E ARRONDISSEMENT;public;LEGT;168.0;;168.0;138.7;;138.7;36.2;
2022-2023;PARIS;075;PARIS;0750711R;LYCEE GENERAL ET TECHNOLOGIQUE HENRI BERGSON;75119;PARIS 19E ARRONDISSEMENT;public;LEGT;669.0;;669.0;95.4;;95.4;34.8;
2022-2023;PARIS;075;PARIS;0750712S;LYCEE POLYVALENT DIDEROT;75119;PARIS 19E ARRONDISSEMENT;public;LPO;602.0;159.0;761.0;109.1;101.6;107.5;37.6;34.7
2022-2023;PARIS;075;PARIS;0750714U;LYCEE GENERAL HELENE BOUCHER;75120;PARIS 20E ARRONDISSEMENT;public;LEGT;1236.0;;1236.0;129.6;;129.6;40.2;
2022-2023;PARIS;075;PARIS;0750776L;LYCEE PROFESSIONNEL MARIE LAURENCIN LYCEE DES METIERS DE LA MODE;75110;PARIS 10E ARRONDISSEMENT;public;LP;;147.0;147.0;;95.6;95.6;;34.6
2022-2023;PARIS;075;PARIS;0751710B;LYCEE PROFESSIONNEL N L VAUQUELIN LYCEE DES METIERS DES PROCEDES CHIMIQUES DES BIOTECHNOLOGIES ET DE L EAU;75113;PARIS 13E ARRONDISSEMENT;public;LP;;170.0;170.0;;87.3;87.3;;28.1
2022-2023;PARIS;075;PARIS;0752700C;LYCEE PROFESSIONNEL ARMAND CARREL;75119;PARIS 19E ARRONDISSEMENT;public;LP;;165.0;165.0;;79.2;79.2;;20.5
2022-2023;PARIS;075;PARIS;0753217P;LYCEE POLYVALENT PRIVE SAINTE THERESE;75116;PARIS 16E ARRONDISSEMENT;privé sous contrat;LPO;28.0;47.0;75.0;114.6;109.2;111.2;28.3;27.5
2022-2023;PARIS;075;PARIS;0753350J;LYCEE PROFESSIONNEL MARIA DERAISMES;75117;PARIS 17E ARRONDISSEMENT;public;LP;;301.0;301.0;;79.6;79.6;;21.1
2022-2023;PARIS;075;PARIS;0753815P;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE LES PETITS CHAMPS;75119;PARIS 19E ARRONDISSEMENT;privé sous contrat;LEGT;318.0;;318.0;145.8;;145.8;26.6;
2022-2023;PARIS;075;PARIS;0753827C;LYCEE GENERAL PRIVE LOUISE DE MARILLAC;75105;PARIS 5E ARRONDISSEMENT;privé sous contrat;LEGT;313.0;;313.0;135.0;;135.0;25.6;
2022-2023;PARIS;075;PARIS;0753834K;LYCEE GENERAL PRIVE YABNE;75113;PARIS 13E ARRONDISSEMENT;privé sous contrat;LEGT;422.0;;422.0;136.6;;136.6;22.2;
2022-2023;PARIS;075;PARIS;0753887T;LYCEE PRIVE BOSSUET NOTRE DAME;75110;PARIS 10E ARRONDISSEMENT;privé sous contrat;LEGT;532.0;;532.0;138.8;;138.8;23.3;
2022-2023;PARIS;075;PARIS;0753916Z;LYCEE GENERAL PRIVE SAINTE ELISABETH;75115;PARIS 15E ARRONDISSEMENT;privé sous contrat;LEGT;257.0;;257.0;140.5;;140.5;21.1;
2022-2023;PARIS;075;PARIS;0753941B;LYCEE PRIVE GERSON;75116;PARIS 16E ARRONDISSEMENT;privé sous contrat;LEGT;397.0;;397.0;145.6;;145.6;18.4;
2022-2023;PARIS;075;PARIS;0754081D;LYCEE PRIVE SAINTE URSULE LOUISE DE BETTIGNIES;75117;PARIS 17E ARRONDISSEMENT;privé sous contrat;LEGT;406.0;;406.0;144.9;;144.9;17.3;
2022-2023;PARIS;075;PARIS;0754086J;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE CHARLES DE FOUCAULD;75118;PARIS 18E ARRONDISSEMENT;privé sous contrat;LEGT;630.0;;630.0;119.2;;119.2;31.7;
2022-2023;PARIS;075;PARIS;0754325U;LYCEE GENERAL PRIVE BETH HANNA;75119;PARIS 19E ARRONDISSEMENT;privé sous contrat;LEGT;240.0;;240.0;122.6;;122.6;33.5;
2022-2023;PARIS;075;PARIS;0754530S;LYCEE POLYVALENT MARTIN NADAUD;75120;PARIS 20E ARRONDISSEMENT;public;LPO;164.0;253.0;417.0;88.4;79.0;82.7;29.7;21.2
2022-2023;PARIS;075;PARIS;0754684J;LYCEE GENERAL GEORGES BRASSENS;75119;PARIS 19E ARRONDISSEMENT;public;LEGT;197.0;;197.0;154.0;;154.0;26.7;
2022-2023;NORMANDIE;076;SEINE MARITIME;0760029U;LYCEE GENERAL ET TECHNOLOGIQUE ANDRE MAUROIS;76231;ELBEUF;public;LEGT;1025.0;;1025.0;103.6;;103.6;33.6;
2022-2023;NORMANDIE;076;SEINE MARITIME;0760032X;LYCEE POLYVALENT ANGUIER LYCEE DES METIERS DE LA MISE EN FORME DES MATERIAUX INDUSTRIELS ET DE L ECO INNOVATION;76255;EU;public;LPO;668.0;91.0;759.0;107.1;79.0;103.7;34.5;22.6
2022-2023;NORMANDIE;076;SEINE MARITIME;0760036B;LYCEE PROFESSIONNEL DESCARTES;76259;FECAMP;public;LP;;321.0;321.0;;87.2;87.2;;23.9
2022-2023;NORMANDIE;076;SEINE MARITIME;0760062E;LYCEE PROFESSIONNEL JULES LE CESNE LYCEE DES METIERS DE L HOTELLERIE DE LA RESTAURATION ET DES SERVICES;76351;LE HAVRE;public;LPO;58.0;395.0;453.0;108.7;82.3;85.7;34.0;24.1
2022-2023;NORMANDIE;076;SEINE MARITIME;0760072R;LYCEE GENERAL ET TECHNOLOGIQUE GUILLAUME LE CONQUERANT;76384;LILLEBONNE;public;LEGT;973.0;;973.0;104.8;;104.8;31.3;
2022-2023;NORMANDIE;076;SEINE MARITIME;0760087G;LYCEE PROFESSIONNEL COLBERT LYCEE DES METIERS DE LA PLASTURGIE ET DE LA FONDERIE;76498;LE PETIT QUEVILLY;public;LP;;166.0;166.0;;80.0;80.0;;24.6
2022-2023;NORMANDIE;076;SEINE MARITIME;0760088H;LYCEE PROFESSIONNEL ELISA LEMONNIER;76498;LE PETIT QUEVILLY;public;LP;;430.0;430.0;;83.7;83.7;;24.4
2022-2023;NORMANDIE;076;SEINE MARITIME;0760145V;LYCEE PROFESSIONNEL VAL DE SEINE;76322;LE GRAND QUEVILLY;public;LP;;407.0;407.0;;81.5;81.5;;23.2
2022-2023;NORMANDIE;076;SEINE MARITIME;0760146W;LYCEE PROFESSIONNEL MARCEL SEMBAT LYCEE DES METIERS DES PROPULSIONS ET SYSTEMES EMBARQUES;76681;SOTTEVILLE LES ROUEN;public;LP;;285.0;285.0;;84.1;84.1;;26.7
2022-2023;NORMANDIE;076;SEINE MARITIME;0761356L;LYCEE POLYVALENT PRIVE PROVIDENCE SAINTE THERESE LYCEE DES METIERS DES SERVICES AUX PERSONNES ET AUX ENTREPRISES;76540;ROUEN;privé sous contrat;LPO;163.0;912.0;1075.0;116.0;109.3;110.3;26.4;26.9
2022-2023;NORMANDIE;076;SEINE MARITIME;0761708U;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE FENELON;76231;ELBEUF;privé sous contrat;LEGT;402.0;;402.0;121.9;;121.9;27.9;
2022-2023;NORMANDIE;076;SEINE MARITIME;0762602R;LYCEE PROFESSIONNEL DES 4 CANTONS GRIEU LYCEE DES METIERS DE LA MAINTENANCE ET DE L INFORMATION NUMERIQUE;76540;ROUEN;public;LP;;236.0;236.0;;83.9;83.9;;23.9
2022-2023;NORMANDIE;076;SEINE MARITIME;0762879S;LYCEE GENERAL ET TECHNOLOGIQUE VALLEE DU CAILLY;76216;DEVILLE LES ROUEN;public;LEGT;795.0;;795.0;99.7;;99.7;32.7;
2022-2023;NORMANDIE;076;SEINE MARITIME;0762964J;LYCEE POLYVALENT LE CORBUSIER LYCEE DES METIERS DU BATIMENT DES TRAVAUX PUBLICS DE L ENERGIE ET DE LA DOMOTIQUE;76575;SAINT ETIENNE DU ROUVRAY;public;LPO;70.0;453.0;523.0;100.5;82.8;85.2;32.7;24.0
2022-2023;NORMANDIE;076;SEINE MARITIME;0763002A;LYCEE POLYVALENT DU GOLF;76217;DIEPPE;public;LPO;216.0;458.0;674.0;93.5;83.0;86.4;27.1;23.2
2022-2023;CRETEIL;077;SEINE-ET-MARNE;0770920G;LYCEE POLYVALENT LA FAYETTE LYCEE DES METIERS DE L ENERGIE DU NUMERIQUE ET DES INDUSTRIES DE PRODUCTION LYCEE DES METIERS DU COMMERCE;77079;CHAMPAGNE SUR SEINE;public;LPO;235.0;538.0;773.0;117.2;95.9;102.4;28.7;26.3
2022-2023;CRETEIL;077;SEINE-ET-MARNE;0770922J;LYCEE GENERAL ET TECHNOLOGIQUE GASTON BACHELARD;77108;CHELLES;public;LEGT;1589.0;;1589.0;107.7;;107.7;34.9;
2022-2023;CRETEIL;077;SEINE-ET-MARNE;0770926N;LYCEE GENERAL ET TECHNOLOGIQUE FRANCOIS COUPERIN;77186;FONTAINEBLEAU;public;LEGT;1282.0;;1282.0;126.9;;126.9;34.3;
2022-2023;CRETEIL;077;SEINE-ET-MARNE;0770930T;LYCEE GENERAL ET TECHNOLOGIQUE HENRI MOISSAN;77284;MEAUX;public;LEGT;1241.0;;1241.0;101.0;;101.0;31.7;
2022-2023;CRETEIL;077;SEINE-ET-MARNE;0770933W;LYCEE GENERAL ET TECHNOLOGIQUE JACQUES AMYOT;77288;MELUN;public;LEGT;659.0;;659.0;104.9;;104.9;34.2;
2022-2023;CRETEIL;077;SEINE-ET-MARNE;0770940D;LYCEE POLYVALENT ETIENNE BEZOUT;77333;NEMOURS;public;LPO;782.0;321.0;1103.0;107.1;84.8;100.7;33.7;25.3
2022-2023;CRETEIL;077;SEINE-ET-MARNE;0770942F;LYCEE POLYVALENT THIBAUT DE CHAMPAGNE;77379;PROVINS;public;LPO;741.0;156.0;897.0;101.3;83.9;98.2;31.4;22.7
2022-2023;CRETEIL;077;SEINE-ET-MARNE;0771171E;LYCEE PROFESSIONNEL LOUIS LUMIERE LYCEE DES METIERS DE L ELECTRICITE LYCEE DES METIERS DU COMMERCE;77108;CHELLES;public;LP;;753.0;753.0;;85.7;85.7;;24.8
2022-2023;CRETEIL;077;SEINE-ET-MARNE;0771658J;LPO DU GUE A TRESMES LYCEE DES METIERS DE L HOTELLERIE ET RESTAURATION DES ARTS ET DESIGN DE L AMENAGEMENT ET FINITION DU BATIMENT;77126;CONGIS SUR THEROUANNE;public;LPO;138.0;372.0;510.0;112.2;94.4;99.2;31.3;28.6
2022-2023;CRETEIL;077;SEINE-ET-MARNE;0771996B;LYCEE GENERAL ET TECHNOLOGIQUE HONORE DE BALZAC;77294;MITRY MORY;public;LEGT;1455.0;;1455.0;102.9;;102.9;32.3;
2022-2023;CRETEIL;077;SEINE-ET-MARNE;0772151V;LYCEE PROFESSIONNEL PRIVE LES SINOPLIES;77390;ROISSY EN BRIE;privé sous contrat;LP;;79.0;79.0;;101.5;101.5;;30.5
2022-2023;CRETEIL;077;SEINE-ET-MARNE;0772225A;LYCEE PROFESSIONNEL LINO VENTURA LYCEE DES METIERS DE LA SANTE ET DE L AIDE A LA PERSONNE;77350;OZOIR LA FERRIERE;public;LPO;34.0;501.0;535.0;103.0;90.7;91.5;32.5;26.3
2022-2023;CRETEIL;077;SEINE-ET-MARNE;0772229E;LYCEE GENERAL ET TECHNOLOGIQUE JEAN VILAR;77284;MEAUX;public;LEGT;1281.0;;1281.0;104.8;;104.8;31.6;
2022-2023;CRETEIL;077;SEINE-ET-MARNE;0772277G;LYCEE POLYVALENT HENRI BECQUEREL;77327;NANGIS;public;LPO;543.0;72.0;615.0;103.6;92.9;102.3;30.6;26.0
2022-2023;CRETEIL;077;SEINE-ET-MARNE;0772324H;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE CAMPUS SAINTE THERESE;77350;OZOIR LA FERRIERE;privé sous contrat;LEGT;494.0;;494.0;131.3;;131.3;26.7;
2022-2023;CRETEIL;077;SEINE-ET-MARNE;0772342C;LYCEE POLYVALENT CLEMENT ADER;77470;TOURNAN EN BRIE;public;LPO;714.0;475.0;1189.0;118.9;92.8;108.5;31.6;27.3
2022-2023;CRETEIL;077;SEINE-ET-MARNE;0772737G;LYCEE GENERAL INTERNAT D EXCELLENCE DE SOURDUN;77459;SOURDUN;public;LEGT;235.0;;235.0;95.4;;95.4;32.7;
2022-2023;VERSAILLES;078;YVELINES;0780273Y;LYCEE PROFESSIONNEL LOUIS BLERIOT LYCEE DES METIERS DES SERVICES AUX ENTREPRISES AUX COLLECTIVITES ET AUX PERSONNES;78621;TRAPPES;public;LP;;354.0;354.0;;90.4;90.4;;27.8
2022-2023;VERSAILLES;078;YVELINES;0781581V;LYCEE PROFESSIONNEL PRIVE SAINT THOMAS;78551;SAINT GERMAIN EN LAYE;privé sous contrat;LP;;222.0;222.0;;133.2;133.2;;25.4
2022-2023;VERSAILLES;078;YVELINES;0781859X;LYCEE POLYVALENT VINCENT VAN GOGH;78029;AUBERGENVILLE;public;LEGT;1141.0;;1141.0;120.0;;120.0;35.1;
2022-2023;VERSAILLES;078;YVELINES;0781898P;LYCEE GENERAL ET TECHNOLOGIQUE CHARLES DE GAULLE;78498;POISSY;public;LEGT;1082.0;;1082.0;125.2;;125.2;37.6;
2022-2023;VERSAILLES;078;YVELINES;0782593V;LYCEE PROFESSIONNEL JEAN PERRIN;78545;SAINT CYR L ECOLE;public;LP;;370.0;370.0;;96.8;96.8;;29.6
2022-2023;VERSAILLES;078;YVELINES;0782602E;LYCEE PROFESSIONNEL JEAN MOULIN LYCEE DES METIERS DE L ELECTRO ENERGETIQUE;78158;LE CHESNAY ROCQUENCOURT;public;LP;;509.0;509.0;;93.3;93.3;;28.4
2022-2023;VERSAILLES;078;YVELINES;0783140P;LYCEE GENERAL ET TECHNOLOGIQUE MANSART;78545;SAINT CYR L ECOLE;public;LEGT;860.0;;860.0;122.3;;122.3;35.9;
2022-2023;VERSAILLES;078;YVELINES;0783282U;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE BLANCHE DE CASTILLE;78158;LE CHESNAY ROCQUENCOURT;privé sous contrat;LEGT;792.0;;792.0;143.4;;143.4;20.6;
2022-2023;VERSAILLES;078;YVELINES;0783323N;LYCEE TECHNOLOGIQUE PRIVE SAINT THOMAS DE VILLENEUVE;78551;SAINT GERMAIN EN LAYE;privé sous contrat;LEGT;494.0;;494.0;142.4;;142.4;22.3;
2022-2023;VERSAILLES;078;YVELINES;0783325R;LYCEE POLYVALENT PRIVE SAINT VINCENT DE PAUL LYCEE DES METIERS DE LA VENTE ET DE LA DIGITALISATION DE LA RELATION CLIENTELE;78646;VERSAILLES;privé sous contrat;LPO;63.0;197.0;260.0;130.1;125.4;126.5;24.9;27.8
2022-2023;VERSAILLES;078;YVELINES;0783548H;LYCEE D ENSEIGNEMENT GENERAL FRANCO ALLEMAND;78117;BUC;public;LEGT;477.0;;477.0;161.6;;161.6;20.2;
2022-2023;POITIERS;079;DEUX-SEVRES;0791062A;LYCEE GENERAL ET TECHNOLOGIQUE VENISE VERTE;79191;NIORT;public;LEGT;1037.0;;1037.0;113.2;;113.2;33.9;
2022-2023;AMIENS;080;SOMME;0800009A;LYCEE GENERAL LOUIS THUILLIER;80021;AMIENS;public;LEGT;1029.0;;1029.0;120.2;;120.2;36.5;
2022-2023;AMIENS;080;SOMME;0800062H;LYCEE PROFESSIONNEL EDOUARD GAND LYCEE DES METIERS DES SERVICES A LA PERSONNE ET AUX ORGANISATIONS;80021;AMIENS;public;LP;;271.0;271.0;;76.0;76.0;;23.3
2022-2023;AMIENS;080;SOMME;0801945E;LYCEE PROFESSIONNEL PRIVE SAINT PIERRE;80001;ABBEVILLE;privé sous contrat;LP;;32.0;32.0;;105.7;105.7;;25.8
2022-2023;TOULOUSE;081;TARN;0810004P;LYCEE POLYVALENT LOUIS RASCOL;81004;ALBI;public;LPO;1124.0;323.0;1447.0;110.0;91.0;105.8;31.6;28.3
2022-2023;TOULOUSE;081;TARN;0810012Y;LYCEE POLYVALENT JEAN JAURES;81060;CARMAUX;public;LPO;428.0;344.0;772.0;105.6;88.3;97.9;31.6;24.8
2022-2023;TOULOUSE;081;TARN;0810023K;LYCEE GENERAL ET TECHNOLOGIQUE VICTOR HUGO;81099;GAILLAC;public;LEGT;1003.0;;1003.0;116.6;;116.6;34.1;
2022-2023;TOULOUSE;081;TARN;0810030T;LYCEE GENERAL LAS CASES;81140;LAVAUR;public;LEGT;777.0;;777.0;129.0;;129.0;33.5;
2022-2023;TOULOUSE;081;TARN;0810033W;LYCEE GENERAL ET TECHNOLOGIQUE MARECHAL SOULT;81163;MAZAMET;public;LEGT;434.0;;434.0;102.5;;102.5;33.0;
2022-2023;TOULOUSE;081;TARN;0810103X;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME;81065;CASTRES;privé sous contrat;LEGT;278.0;;278.0;111.2;;111.2;28.3;
2022-2023;TOULOUSE;081;TARN;0810959C;LYCEE POLYVALENT BORDE BASSE;81065;CASTRES;public;LPO;1525.0;201.0;1726.0;111.2;88.6;108.5;34.0;25.9
2022-2023;TOULOUSE;082;TARN-ET-GARONNE;0820001F;LYCEE NORMAN FOSTER LYCEE DES METIERS DU BATIMENT TRAVAUX PUBLICS TOPOGRAPHIE ET USAGES DU NUMERIQUE;82013;BEAUMONT DE LOMAGNE;public;LP;;286.0;286.0;;92.3;92.3;;26.8
2022-2023;TOULOUSE;082;TARN-ET-GARONNE;0820004J;LYCEE DES METIERS DE LA RESTAURATION DE L ALIMENTATION ET DES SERVICES JEAN DE PRADES;82033;CASTELSARRASIN;public;LPO;390.0;373.0;763.0;101.5;80.6;91.3;32.8;23.6
2022-2023;TOULOUSE;082;TARN-ET-GARONNE;0820021C;LYCEE POLYVALENT BOURDELLE (A ABSORBE L'UAI 0820032P EN 2022);82121;MONTAUBAN;public;LPO;1502.0;633.0;2135.0;106.2;86.4;100.3;33.9;27.0
2022-2023;TOULOUSE;082;TARN-ET-GARONNE;0820917B;LYCEE POLYVALENT OLYMPE DE GOUGES;82125;MONTECH;public;LPO;744.0;136.0;880.0;110.3;86.3;106.6;31.8;22.6
2022-2023;NICE;083;VAR;0831187P;LYCEE PROFESSIONNEL PRIVE EXTERNAT SAINT JOSEPH LA CORDEILLE;83090;OLLIOULES;privé sous contrat;LP;;214.0;214.0;;108.3;108.3;;24.0
2022-2023;NICE;083;VAR;0831440P;LYCEE POLYVALENT ALBERT CAMUS;83061;FREJUS;public;LPO;884.0;241.0;1125.0;105.1;90.5;101.9;35.0;25.9
2022-2023;NICE;083;VAR;0831559U;LYCEE POLYVALENT MAURICE JANETTI;83116;SAINT MAXIMIN LA SAINTE BAUME;public;LPO;1219.0;298.0;1517.0;119.4;94.0;114.4;33.3;28.7
2022-2023;AIX-MARSEILLE;084;VAUCLUSE;0840003X;LYCEE GENERAL FREDERIC MISTRAL;84007;AVIGNON;public;LEGT;984.0;;984.0;108.7;;108.7;37.5;
2022-2023;AIX-MARSEILLE;084;VAUCLUSE;0840004Y;LYCEE GENERAL ET TECHNOLOGIQUE THEODORE AUBANEL;84007;AVIGNON;public;LEGT;1141.0;;1141.0;103.2;;103.2;38.1;
2022-2023;AIX-MARSEILLE;084;VAUCLUSE;0840016L;LPO VICTOR HUGO;84031;CARPENTRAS;public;LPO;940.0;369.0;1309.0;101.7;87.4;97.7;33.1;26.4
2022-2023;AIX-MARSEILLE;084;VAUCLUSE;0840026X;LYCEE GENERAL ET TECHNOLOGIQUE DE L ARC;84087;ORANGE;public;LEGT;1128.0;;1128.0;105.0;;105.0;34.3;
2022-2023;AIX-MARSEILLE;084;VAUCLUSE;0840082H;LYCEE DES METIERS PRIVE VINCENT DE PAUL LYCEE DES METIERS DE LA MODE DES SERVICES AUX ENTREPRISES ET A LA PERSONNE;84007;AVIGNON;privé sous contrat;LP;;661.0;661.0;;104.1;104.1;;26.8
2022-2023;AIX-MARSEILLE;084;VAUCLUSE;0841078R;LYCEE REGIONAL MONTESQUIEU;84129;SORGUES;public;LP;;403.0;403.0;;80.2;80.2;;24.9
2022-2023;NANTES;085;VENDEE;0850006V;LYCEE GENERAL ET TECHNOLOGIQUE GEORGES CLEMENCEAU;85051;CHANTONNAY;public;LEGT;351.0;;351.0;99.1;;99.1;31.2;
2022-2023;NANTES;085;VENDEE;0850043K;LYCEE PROFESSIONNEL VALERE MATHE;85194;LES SABLES D OLONNE;public;LP;;348.0;348.0;;90.2;90.2;;22.9
2022-2023;NANTES;085;VENDEE;0850068M;LYCEE POLYVALENT FRANCOIS RABELAIS;85092;FONTENAY LE COMTE;public;LPO;583.0;184.0;767.0;108.9;82.2;102.5;33.7;21.7
